"COMPACTNESS","CIRCULARITY","DISTANCE_CIRCULARITY","RADIUS_RATIO","PR.AXIS_ASPECT_RATIO","MAX.LENGTH_ASPECT_RATIO","SCATTER_RATIO","ELONGATEDNESS","PR.AXIS_RECTANGULARITY","MAX.LENGTH_RECTANGULARITY","SCALED_VARIANCE_MAJOR","SCALED_VARIANCE_MINOR","SCALED_RADIUS_OF_GYRATION","SKEWNESS_ABOUT_MAJOR","SKEWNESS_ABOUT_MINOR","KURTOSIS_ABOUT_MAJOR","KURTOSIS_ABOUT_MINOR","HOLLOWS_RATIO","Class"
95,48,83,178,72,10,162,42,20,159,176,379,184,70,6,16,187,197,van
91,41,84,141,57,9,149,45,19,143,170,330,158,72,9,14,189,199,van
104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188,196,saab
93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199,207,van
85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,bus
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus
97,43,73,173,65,6,153,42,19,143,176,361,172,66,13,1,200,204,bus
90,43,66,157,65,9,137,48,18,146,162,281,164,67,3,3,193,202,van
86,34,62,140,61,7,122,54,17,127,141,223,112,64,2,14,200,208,van
93,44,98,197,62,11,183,36,22,146,202,505,152,64,4,14,195,204,saab
86,36,70,143,61,9,133,50,18,130,153,266,127,66,2,10,194,202,van
90,34,66,136,55,6,123,54,17,118,148,224,118,65,5,26,196,202,saab
88,46,74,171,68,6,152,43,19,148,180,349,192,71,5,11,189,195,bus
89,42,85,144,58,10,152,44,19,144,173,345,161,72,8,13,187,197,van
94,49,79,203,71,5,174,37,21,154,196,465,206,71,6,2,197,199,bus
96,55,103,201,65,9,204,32,23,166,227,624,246,74,6,2,186,194,opel
89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181,185,van
99,41,77,197,69,6,177,36,21,139,202,485,151,72,4,10,198,199,bus
104,54,100,186,61,10,216,31,24,173,225,686,220,74,5,11,185,195,saab
101,56,100,215,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel
84,47,75,153,64,6,154,43,19,145,175,354,184,75,0,3,185,192,bus
84,37,53,121,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van
94,43,64,173,69,7,150,43,19,142,169,344,177,68,9,1,199,206,bus
87,39,70,148,61,7,143,46,18,136,164,307,141,69,1,2,192,199,bus
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab
85,45,80,154,64,9,147,45,19,148,169,324,174,71,1,4,188,199,van
83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179,183,saab
107,54,98,203,65,11,218,31,25,167,229,696,216,72,1,28,187,199,saab
102,45,85,193,64,6,192,33,22,146,217,570,163,76,6,7,195,193,bus
80,38,63,129,55,7,146,46,19,130,168,314,158,83,9,20,180,185,saab
89,43,85,160,64,11,155,43,19,151,173,356,174,72,5,9,185,196,van
88,42,77,151,58,8,140,47,18,142,165,293,158,64,10,11,198,205,saab
93,35,66,154,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel
